"last_updated","state"
"2022-06-20 19:25:15.738604","30"
"2022-06-20 19:27:15.735978","31"
"2022-06-20 19:28:15.748411","30"
"2022-06-20 19:29:15.778621","32"
"2022-06-20 19:32:15.782184","31"
"2022-06-20 19:35:15.753506","32"
"2022-06-20 19:38:15.746021","31"
"2022-06-20 19:39:15.795195","32"
"2022-06-20 19:41:15.784047","30"
"2022-06-20 19:44:15.753855","31"
"2022-06-20 19:45:15.763556","32"
"2022-06-20 19:47:15.771692","33"
"2022-06-20 19:48:15.796276","32"
"2022-06-20 19:50:15.764537","35"
"2022-06-20 19:51:15.810705","33"
"2022-06-20 19:54:15.780305","31"
"2022-06-20 19:55:15.779887","27"
"2022-06-20 19:59:15.780972","25"
"2022-06-20 20:01:15.800705","26"
"2022-06-20 20:02:15.782518","30"
"2022-06-20 20:04:15.807967","31"
"2022-06-20 20:06:15.808956","33"
"2022-06-20 20:09:15.791641","36"
"2022-06-20 20:11:15.826085","37"
"2022-06-20 20:12:15.782995","38"
"2022-06-20 20:14:15.834833","37"
"2022-06-20 20:15:15.798179","38"
"2022-06-20 20:16:15.833962","35"
"2022-06-20 20:17:15.796288","34"
"2022-06-20 20:21:15.835656","33"
"2022-06-20 20:22:15.803380","29"
"2022-06-20 20:23:15.841685","27"
"2022-06-20 20:30:15.848852","26"
"2022-06-20 20:33:15.845764","27"
"2022-06-20 20:35:15.855082","26"
"2022-06-20 20:36:15.825245","24"
"2022-06-20 20:37:15.830748","23"
"2022-06-20 20:38:15.861195","21"
"2022-06-20 20:40:15.865154","19"
"2022-06-20 20:42:15.832266","20"
"2022-06-20 20:43:15.870845","19"
"2022-06-20 20:44:15.831451","18"
"2022-06-20 20:45:15.860415","20"
"2022-06-20 20:46:15.848353","21"
"2022-06-20 20:47:15.841521","20"
"2022-06-20 20:49:15.836950","19"
"2022-06-20 20:52:15.840256","20"
"2022-06-20 20:55:15.887205","21"
"2022-06-20 20:59:15.841973","20"
"2022-06-20 21:01:15.854670","19"
"2022-06-20 21:08:15.852994","21"
"2022-06-20 21:10:15.886038","20"
"2022-06-20 21:11:15.857095","19"
"2022-06-20 21:12:15.889416","22"
"2022-06-20 21:13:15.865912","24"
"2022-06-20 21:16:15.867820","23"
"2022-06-20 21:17:15.895999","24"
"2022-06-20 21:19:15.865708","23"
"2022-06-20 21:20:15.895757","22"
"2022-06-20 21:24:15.871142","23"
"2022-06-20 21:27:15.903116","22"
"2022-06-20 21:28:15.901735","24"
"2022-06-20 21:29:15.889419","23"
"2022-06-20 21:30:15.905321","22"
"2022-06-20 21:31:15.884439","19"
"2022-06-20 21:32:15.916335","20"
"2022-06-20 21:34:15.887524","19"
"2022-06-20 21:36:15.887631","18"
